,downloads,library
2025-03-01,392323.0,django
2025-03-02,348043.0,django
2025-03-03,826981.0,django
2025-03-04,837504.0,django
2025-03-05,830036.0,django
2025-03-06,886282.0,django
2025-03-07,841570.0,django
2025-03-08,352666.0,django
2025-03-09,337213.0,django
2025-03-10,854265.0,django
2025-03-11,865588.0,django
2024-12-24,427038.0,django
2025-01-02,525595.0,django
2025-01-19,316176.0,django
2024-12-13,687320.0,tensorflow
2024-12-14,501261.0,tensorflow
2024-12-15,489521.0,tensorflow
2024-12-16,686783.0,tensorflow
2024-12-17,734854.0,tensorflow
2024-12-18,755460.0,tensorflow
2024-12-19,712515.0,tensorflow
2024-12-20,651252.0,tensorflow
2024-12-21,500169.0,tensorflow
2024-12-22,498100.0,tensorflow
2024-12-23,638445.0,tensorflow
2024-12-24,579885.0,tensorflow
2024-12-25,514249.0,tensorflow
2024-12-26,555387.0,tensorflow
2024-12-27,577757.0,tensorflow
2024-12-28,498969.0,tensorflow
2024-12-29,458290.0,tensorflow
2024-12-30,584520.0,tensorflow
2024-12-31,512016.0,tensorflow
2025-01-01,507966.0,tensorflow
2025-01-02,640731.0,tensorflow
2025-01-03,622693.0,tensorflow
2025-01-04,566213.0,tensorflow
2025-01-05,528290.0,tensorflow
2025-01-06,757894.0,tensorflow
2025-01-07,704998.0,tensorflow
2025-01-08,803107.0,tensorflow
2025-01-09,672331.0,tensorflow
2025-01-10,655591.0,tensorflow
2025-01-11,584014.0,tensorflow
2025-01-12,515368.0,tensorflow
2025-01-13,708695.0,tensorflow
2025-01-14,735463.0,tensorflow
2025-01-15,688154.0,tensorflow
2025-01-16,709940.0,tensorflow
2025-01-17,783553.0,tensorflow
2025-01-18,614366.0,tensorflow
2025-01-19,557698.0,tensorflow
2025-01-20,628234.0,tensorflow
2025-01-21,736369.0,tensorflow
2025-01-22,837082.0,tensorflow
2025-01-23,798254.0,tensorflow
2025-01-24,685398.0,tensorflow
2025-01-25,580530.0,tensorflow
2025-01-26,516901.0,tensorflow
2025-01-27,704949.0,tensorflow
2025-01-28,764925.0,tensorflow
2025-01-29,726899.0,tensorflow
2025-01-30,685148.0,tensorflow
2025-01-31,652674.0,tensorflow
2025-02-01,588653.0,tensorflow
2025-02-02,545658.0,tensorflow
2025-02-03,657753.0,tensorflow
2025-02-04,757750.0,tensorflow
2025-02-05,745183.0,tensorflow
2025-02-06,734191.0,tensorflow
2025-02-07,715772.0,tensorflow
2025-02-08,668354.0,tensorflow
2025-02-09,590233.0,tensorflow
2025-02-10,725200.0,tensorflow
2025-02-11,715145.0,tensorflow
2025-02-12,715338.0,tensorflow
2025-02-13,695959.0,tensorflow
2025-02-14,665818.0,tensorflow
2025-02-15,549199.0,tensorflow
2025-02-16,526125.0,tensorflow
2025-02-17,675814.0,tensorflow
2025-02-18,814069.0,tensorflow
2025-02-19,734954.0,tensorflow
2025-02-20,781714.0,tensorflow
2025-02-21,732308.0,tensorflow
2025-02-22,666652.0,tensorflow
2025-02-23,513693.0,tensorflow
2025-02-24,692430.0,tensorflow
2025-02-25,992724.0,tensorflow
2025-02-26,1110314.0,tensorflow
2025-02-27,833957.0,tensorflow
2025-02-28,699399.0,tensorflow
2025-03-01,590661.0,tensorflow
2025-03-02,549991.0,tensorflow
2025-03-03,748850.0,tensorflow
2025-03-04,743616.0,tensorflow
2025-03-05,791158.0,tensorflow
2025-03-06,775419.0,tensorflow
2025-03-07,714918.0,tensorflow
2025-03-08,562212.0,tensorflow
2025-03-09,523775.0,tensorflow
2025-03-10,677104.0,tensorflow
2025-03-11,737152.0,tensorflow
2024-12-13,2871395.0,fastapi
2024-12-14,2003031.0,fastapi
2024-12-15,2002266.0,fastapi
2024-12-16,3152436.0,fastapi
2024-12-17,3149769.0,fastapi
2024-12-18,2995931.0,fastapi
2024-12-19,2920559.0,fastapi
2024-12-20,2667848.0,fastapi
2024-12-21,1764848.0,fastapi
2024-12-22,1820000.0,fastapi
2024-12-23,2401784.0,fastapi
2024-12-24,2127323.0,fastapi
2024-12-25,1803457.0,fastapi
2024-12-26,2050901.0,fastapi
2024-12-27,2066746.0,fastapi
2024-12-28,1673207.0,fastapi
2024-12-29,1720936.0,fastapi
2024-12-30,2175128.0,fastapi
2024-12-31,2021032.0,fastapi
2025-01-01,1711416.0,fastapi
2025-01-02,2397933.0,fastapi
2025-01-03,2375758.0,fastapi
2025-01-04,1788931.0,fastapi
2025-01-05,1764113.0,fastapi
2025-01-06,2579141.0,fastapi
2025-01-07,2898945.0,fastapi
2025-01-08,2956371.0,fastapi
2025-01-09,3069813.0,fastapi
2025-01-10,2826909.0,fastapi
2025-01-11,1791025.0,fastapi
2025-01-12,1799364.0,fastapi
2025-01-13,2785915.0,fastapi
2025-01-14,2959788.0,fastapi
2025-01-15,2980225.0,fastapi
2025-01-16,2984387.0,fastapi
2025-01-17,2961785.0,fastapi
2025-01-18,1856803.0,fastapi
2025-01-19,1823956.0,fastapi
2025-01-20,2582696.0,fastapi
2025-01-21,2905133.0,fastapi
2025-01-22,3011790.0,fastapi
2025-01-23,2948555.0,fastapi
2025-01-24,2715768.0,fastapi
2025-01-25,1733947.0,fastapi
2025-01-26,1777178.0,fastapi
2025-01-27,2862602.0,fastapi
2025-01-28,2938838.0,fastapi
2025-01-29,2908932.0,fastapi
2025-01-30,3057540.0,fastapi
2025-01-31,2856492.0,fastapi
2025-02-01,1917654.0,fastapi
2025-02-02,1806973.0,fastapi
2025-02-03,2779127.0,fastapi
2025-02-04,3055101.0,fastapi
2025-02-05,3115707.0,fastapi
2025-02-06,3008174.0,fastapi
2025-02-07,2799061.0,fastapi
2025-02-08,1751022.0,fastapi
2025-02-09,1458987.0,fastapi
2025-02-10,2865120.0,fastapi
2025-02-11,2890522.0,fastapi
2025-02-12,2942137.0,fastapi
2025-02-13,2870832.0,fastapi
2025-02-14,2601594.0,fastapi
2025-02-15,1598988.0,fastapi
2025-02-16,1619726.0,fastapi
2025-02-17,2514691.0,fastapi
2025-02-18,2827239.0,fastapi
2025-02-19,2842584.0,fastapi
2025-02-20,2817757.0,fastapi
2025-02-21,2587108.0,fastapi
2025-02-22,1609810.0,fastapi
2025-02-23,1533051.0,fastapi
2025-02-24,2714412.0,fastapi
2025-02-25,2930407.0,fastapi
2025-02-26,2813568.0,fastapi
2025-02-27,2855090.0,fastapi
2025-02-28,2553075.0,fastapi
2025-03-01,1543945.0,fastapi
2025-03-02,1557400.0,fastapi
2025-03-03,2666469.0,fastapi
2025-03-04,2841353.0,fastapi
2025-03-05,3010529.0,fastapi
2025-03-06,2895404.0,fastapi
2025-03-07,2842923.0,fastapi
2025-03-08,1539619.0,fastapi
2025-03-09,1529893.0,fastapi
2025-03-10,2850004.0,fastapi
2025-03-11,2843583.0,fastapi
